Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,08001,A1 (para conducir motos de hasta 125cc),-19,Terceros sin asistencia en viaje,442€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,08001,A1 (para conducir motos de hasta 125cc),-19,Terceros con asistencia en viaje,459€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,08001,A1 (para conducir motos de hasta 125cc),-19,Terceros ampliado,1.340€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros sin asistencia en viaje,371€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros con asistencia en viaje,388€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros ampliado,1.340€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,08001,Licencia de ciclomotor,-19,Terceros sin asistencia en viaje,460€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,08001,Licencia de ciclomotor,-19,Terceros con asistencia en viaje,477€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,28001,A1 (para conducir motos de hasta 125cc),-19,Terceros sin asistencia en viaje,361€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,28001,A1 (para conducir motos de hasta 125cc),-19,Terceros con asistencia en viaje,378€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,28001,A1 (para conducir motos de hasta 125cc),-19,Terceros ampliado,1.152€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros sin asistencia en viaje,304€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros con asistencia en viaje,320€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros ampliado,1.152€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,28001,Licencia de ciclomotor,-19,Terceros sin asistencia en viaje,366€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,19,28001,Licencia de ciclomotor,-19,Terceros con asistencia en viaje,382€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,A1 (para conducir motos de hasta 125cc),-22,Terceros sin asistencia en viaje,342€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,A1 (para conducir motos de hasta 125cc),-22,Terceros con asistencia en viaje,359€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,A1 (para conducir motos de hasta 125cc),-22,Terceros ampliado,1.340€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,A1 (para conducir motos de hasta 125cc),-19,Terceros sin asistencia en viaje,239€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,A1 (para conducir motos de hasta 125cc),-19,Terceros con asistencia en viaje,256€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,A1 (para conducir motos de hasta 125cc),-19,Terceros ampliado,790€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-22,Terceros sin asistencia en viaje,307€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-22,Terceros con asistencia en viaje,324€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-22,Terceros ampliado,1.340€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros sin asistencia en viaje,210€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros con asistencia en viaje,227€
APRILIA,SR 50,50 cc,SR 50 MOTARD,4 CV,2019,2019,22,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",-19,Terceros ampliado,790€
