Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,378€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,395€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,711€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.288€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,318€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,335€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,599€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,1.093€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,301€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,318€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,567€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.023€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,254€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,271€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,479€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,869€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros sin asistencia en viaje,285€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros con asistencia en viaje,302€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros ampliado,538€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Todo riesgo con franquicia,1.041€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,200€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,218€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,368€
