Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,373€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,390€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,736€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.397€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,314€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,331€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,620€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,1.185€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,297€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,314€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,587€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.108€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,250€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,268€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,495€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,19,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,941€
HONDA,FORZA,125 cc,FORZA 125 ABS,15 CV,2021,2021,22,08001,A1 (para conducir motos de hasta 125cc),22,Terceros sin asistencia en viaje,282€
