Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,331€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,348€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,624€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,1.127€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,279€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,296€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,526€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,957€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,264€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,281€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,499€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,19,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,896€
